index,having_IPhaving_IP_Address,URLURL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result
-1986,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,1
-1987,1,0,1,1,1,0,1,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,0,0,0,0,1,1,0
-1988,1,0,1,1,1,0,1,1,0,1,1,0,0,1,-1,0,0,0,-1,1,1,1,1,1,1,0,0,1,-1,0,1
-1989,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,0,0,-1,0,0,0,0,1,0,-1,0,1,-1,0,1
-199-1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,-1,0,0,1,-1,0,0,0,0,0,0,-1,0,1,-1,0,0
-1991,1,0,1,1,1,0,0,0,0,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,0,0,0,0,0,-1,1,0
-199-1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
-1993,1,0,1,1,1,0,-1,1,0,0,0,1,1,-1,-1,0,0,1,-1,0,1,0,0,0,0,1,1,0,1,0,1
-1994,0,0,0,1,0,0,1,1,0,1,1,0,1,1,-1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
-1995,0,0,0,1,0,0,0,1,0,1,1,0,1,-1,-1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
-1996,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,0,1,0,0,1,-1,1,0
-1997,1,0,1,1,1,1,0,1,0,0,1,1,1,-1,1,0,1,0,-1,1,1,0,1,1,0,1,0,1,1,0,1
-1998,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,-1,1,1,1,1,1,0,1,0,0,-1,0,1
-1999,1,0,1,1,1,0,-1,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,-1,0,0
3-1-1-1,1,0,1,1,1,0,-1,-1,1,0,0,1,0,0,1,0,0,1,-1,1,1,0,1,1,1,0,0,0,-1,0,0
03-01-11,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
3-1-1-1,1,0,1,1,1,1,-1,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,1,0,0,1,1,1,1
03-01-13,0,1,0,1,0,0,0,1,0,1,1,0,1,1,-1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
03-01-14,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,-1,0,1,0,0,1,0,0,0,0,-1,0,0
03-01-15,0,1,0,1,0,1,-1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,-1,0,1,1,0,1
03-01-16,1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,1,0,1,1,-1,1,1,1,1,1,0,0,0,0,1,1,0
03-01-17,1,0,1,1,1,0,0,1,0,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,0,1,-1,0,1,-1,1,0
03-01-18,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,1,0,0,1,-1,1,0
03-01-19,1,0,1,1,1,0,0,1,0,0,0,1,1,-1,0,0,0,1,-1,1,0,0,0,1,0,1,1,1,1,0,1
03-11-01,1,0,1,1,1,1,1,1,1,1,1,1,0,1,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,1
3-111,1,1,1,1,1,0,-1,-1,0,0,0,1,0,0,-1,1,0,1,-1,1,1,0,1,1,0,0,0,1,-1,0,0
03-11-01,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,1
3-113,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,1
3-114,0,1,0,1,0,0,-1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1
3-115,1,0,1,1,1,0,1,0,1,1,1,1,0,-1,1,0,1,1,-1,1,1,1,1,1,0,1,0,1,1,1,0
3-116,1,0,1,1,1,0,0,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
3-117,1,0,1,1,1,0,0,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,0,1,0,1,-1,1,0
3-118,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,0,1,1,1
3-119,1,0,1,1,1,1,0,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,1,1,1
3-1-1-1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,-1,0,1,1,-1,1,1,1,1,0,0,0,0,0,1,1,0
03-01-11,1,1,1,1,1,1,0,1,0,1,1,1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3-1-1-1,1,1,1,1,1,0,-1,1,0,1,1,1,1,-1,0,1,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1
03-01-13,1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,0
03-01-14,1,0,1,1,1,0,-1,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
03-01-15,1,0,1,1,1,0,-1,-1,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,1,1,0,0,-1,0,0
03-01-16,1,0,1,1,1,0,1,1,0,0,0,1,0,-1,-1,0,0,1,-1,0,0,0,0,1,0,1,0,1,1,0,1
03-01-17,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1
03-01-18,1,0,1,1,1,0,1,1,0,0,0,1,1,1,-1,0,0,1,-1,1,1,0,0,1,1,1,0,1,1,1,1
03-01-19,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,0,1,1,-1,1,0
3-13-1,1,0,1,1,1,0,-1,-1,0,0,0,1,1,0,0,0,0,1,-1,0,1,0,1,1,0,1,0,1,1,0,0
3-131,1,0,1,0,1,0,-1,-1,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,0
3-13-1,1,0,1,1,1,0,0,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,0,1,-1,0,0,-1,1,0
3-133,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
3-134,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,0,-1,0,1,-1,1,0
3-135,0,0,0,1,0,0,0,1,1,1,1,0,1,-1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
3-136,1,0,1,1,1,1,-1,1,0,0,1,0,1,1,0,0,0,1,-1,1,0,0,0,0,0,1,0,1,1,1,1
3-137,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
3-138,1,0,1,1,1,0,1,1,0,1,1,1,0,-1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3-139,1,0,1,1,1,0,-1,-1,1,0,1,0,0,0,-1,0,0,0,-1,0,1,0,1,1,0,0,0,1,-1,0,0
3-14-1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,1,0,0,1,-1,1,0
3-141,1,0,1,1,1,0,-1,0,0,1,1,1,1,0,1,0,1,1,-1,1,1,1,1,0,0,1,0,0,-1,1,0
3-14-1,1,0,1,1,1,0,1,1,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,1
3-143,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,0,0,-1,0,0,-1,1,0
3-144,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
3-145,1,0,1,1,1,0,-1,-1,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,0
3-146,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1
3-147,0,0,0,1,0,0,-1,-1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0
3-148,1,0,1,1,1,1,1,1,0,0,1,1,1,-1,1,0,1,1,-1,1,1,0,1,1,0,1,0,1,1,1,1
3-149,1,0,1,1,1,0,-1,-1,1,0,0,1,1,0,0,0,0,1,-1,0,1,0,0,1,1,-1,0,0,-1,0,0
3-15-1,1,0,1,1,1,1,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1
3-151,1,0,1,1,1,0,0,1,1,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
3-15-1,1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,0
3-153,1,0,1,1,1,1,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3-154,1,0,1,1,1,0,-1,0,0,1,1,1,0,1,1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,1
3-155,1,0,1,1,1,0,-1,-1,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,-1,0,1,-1,0,0
3-156,1,0,1,0,1,0,-1,0,0,1,1,1,1,0,1,0,0,0,-1,1,1,1,1,0,0,1,0,1,1,0,0
3-157,1,0,1,1,1,0,-1,1,1,1,1,1,0,1,-1,0,1,1,-1,1,1,1,1,1,0,0,1,1,1,1,1
3-158,1,0,1,1,1,0,0,1,1,0,1,1,0,0,-1,0,1,1,-1,1,1,0,1,0,0,0,0,1,-1,0,0
3-159,1,1,1,1,1,0,-1,-1,0,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,0,0,0,-1,1,0
3-16-1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,0,0,0,0,0,1,1,0
3-161,0,1,0,1,0,1,0,1,0,1,1,0,1,1,-1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
3-16-1,1,1,1,0,1,0,-1,1,0,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,0,1,1,1,1,-1,1,1
3-163,1,0,1,1,1,0,0,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,0,1,1,0,0,-1,1,0
3-164,1,0,1,1,1,0,0,0,0,0,0,0,1,-1,-1,0,0,0,-1,0,1,0,1,0,0,-1,0,1,-1,0,0
3-165,1,-1,1,1,1,0,0,0,1,1,1,0,0,-1,-1,0,1,1,-1,1,1,1,1,0,0,1,0,1,0,1,0
3-166,1,0,1,1,1,0,-1,-1,0,0,0,1,1,0,0,0,0,1,-1,0,0,0,0,1,1,1,0,1,1,0,0
3-167,1,1,1,1,1,0,-1,-1,0,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
3-168,1,0,1,1,1,0,-1,-1,1,0,0,1,0,0,1,0,0,1,-1,1,1,0,1,1,0,0,0,0,-1,0,0
3-169,1,0,1,1,1,0,0,0,0,0,0,1,1,0,-1,0,0,1,-1,0,1,0,1,0,0,-1,0,1,-1,0,0
3-17-1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,-1,1,1,0,1,0,0,0,0,1,-1,1,0
3-171,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
3-17-1,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,0
3-173,1,0,1,0,1,0,0,1,1,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,0,1,1,1,1,-1,1,1
3-174,1,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,0
3-175,1,0,1,1,1,0,1,0,0,0,1,1,1,-1,-1,0,1,1,-1,0,1,0,1,1,0,-1,0,1,0,0,0
3-176,1,0,1,1,1,0,0,1,0,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,1,-1,0,0
3-177,1,1,1,1,1,0,-1,-1,0,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,1,0,-1,0,1,-1,0,0
3-178,1,0,1,1,1,0,0,0,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,0,1,-1,0,1,-1,0,0
3-179,1,0,1,1,1,1,1,1,0,1,1,0,1,1,-1,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,1
3-18-1,1,0,1,1,1,0,-1,0,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,0,0
3-181,1,1,1,1,1,1,1,1,0,1,1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,1
3-18-1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,0,1,-1,0,1,-1,0,0
3-183,1,0,1,1,1,0,-1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,0,1,1,1,1,-1,1,1
3-184,1,0,1,1,1,0,0,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
3-185,1,1,1,1,1,0,-1,-1,0,1,1,1,1,0,-1,1,1,1,-1,1,1,1,1,1,0,0,0,1,-1,1,0
3-186,1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,0
3-187,1,0,1,0,1,0,0,0,1,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,1,0,0,1,1,1,0
3-188,1,0,1,1,1,0,1,1,1,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,1
3-189,1,0,1,1,1,0,-1,0,1,1,1,1,0,0,1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
3-19-1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,1,1,1,0,1,1,0,1,1,1
3-191,1,0,1,1,1,0,1,1,1,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,0,1,1,1,1,1,1
3-19-1,1,0,1,0,1,0,-1,-1,0,1,1,0,0,0,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
3-193,1,1,1,1,1,0,-1,1,0,0,0,1,1,-1,-1,1,0,1,-1,1,1,0,1,0,1,1,0,1,-1,0,1
3-194,1,0,1,1,1,1,0,1,1,0,0,1,0,1,-1,0,0,1,-1,1,1,0,0,0,1,-1,0,1,-1,1,1
3-195,1,0,1,1,1,0,1,1,0,0,1,1,1,-1,0,0,1,1,-1,0,1,0,1,1,0,1,1,1,-1,1,1
3-196,0,0,0,1,1,1,1,1,0,1,1,0,1,-1,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,0,1,1
3-197,1,0,1,1,1,0,-1,-1,0,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
3-198,1,0,1,1,1,0,-1,-1,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,-1,0,1,1,1,0
3-199,1,0,1,1,1,0,-1,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,1,1,0
31-01-01,1,0,1,1,1,0,0,0,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,0
31-11,1,0,1,1,1,1,0,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
31-01-01,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,-1,1,1,1,1,1,1,0,0,1,0,0,1
31-13,1,0,1,1,1,1,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
31-14,0,0,0,1,0,0,-1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,-1,0,1,1,0,0
31-15,1,0,1,1,1,0,-1,-1,0,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
31-16,1,0,1,1,1,1,0,1,1,1,1,1,0,1,-1,0,0,1,-1,1,1,1,1,1,0,0,0,1,1,1,1
31-17,1,0,1,1,1,0,-1,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,1,-1,1,0
31-18,0,0,0,1,0,0,-1,1,1,1,1,0,0,1,-1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1
31-19,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,0,1,-1,1,1,0,0,1,1,1,1,0,-1,1,1
311-1,1,1,1,0,1,0,1,1,0,1,1,1,0,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3111,1,0,1,1,1,0,0,-1,0,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,-1,0,0,-1,1,0
311-1,1,0,1,1,1,0,1,1,0,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3113,1,1,1,1,1,0,-1,1,0,1,1,0,1,0,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
3114,1,1,1,1,1,0,-1,0,0,0,1,1,1,-1,-1,1,0,1,-1,0,1,0,1,0,0,1,0,1,-1,1,1
3115,1,1,1,1,1,0,-1,1,0,1,1,0,1,0,0,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
3116,1,1,1,1,1,0,0,1,0,0,0,1,1,-1,-1,1,0,1,-1,1,1,1,1,0,1,1,1,1,-1,0,1
3117,1,0,1,1,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,1,0,0,-1,1,0
3118,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,-1,1,1,1,1,0,0,0,0,1,1,0,0
3119,1,0,1,1,1,0,-1,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,-1,1,0
31-01-01,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,0,-1,0,1,-1,1,0
31-11,1,0,1,1,1,0,0,1,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,0,0,1,0,1,-1,1,0
31-01-01,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,0
31-13,1,0,1,1,1,0,-1,0,1,0,0,0,0,0,-1,0,0,0,-1,0,1,0,1,0,0,-1,0,1,-1,0,0
31-14,1,0,1,1,1,0,-1,-1,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,1,0,1,1,-1,1,0
31-15,1,1,1,1,1,0,0,1,0,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,0,-1,0,0,1,1,0
31-16,1,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,-1,0,1,0,0,1,0,1,0,1,1,0,1
31-17,1,0,1,1,1,0,1,1,0,0,1,1,1,-1,0,0,1,1,-1,0,1,0,1,1,0,1,0,0,1,1,1
31-18,0,0,0,1,0,0,1,1,1,1,1,0,0,-1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
31-19,1,0,1,0,1,0,-1,-1,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
313-1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3131,1,0,1,1,1,0,-1,-1,1,0,0,1,1,0,1,0,0,1,-1,1,1,0,1,1,0,1,0,1,1,1,0
313-1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,-1,1,1,0,1,1,0,1,0,1,1,1,1
3133,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,-1,1,1,1,1,1,0,0,0,1,0,1,0
3134,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
3135,1,0,1,1,1,0,0,0,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,0
3136,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,-1,1,1,0,1,1,1,1,0,1,-1,1,1
3137,1,0,1,1,1,0,0,0,1,1,1,1,0,-1,0,0,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,0
3138,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,0,1,0,1,-1,1,0
3139,1,-1,1,1,1,0,-1,1,1,1,1,0,0,-1,0,0,0,0,-1,1,1,1,1,0,1,0,0,0,-1,0,1
314-1,0,1,0,1,0,0,-1,-1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,-1,1,0
3141,1,0,1,1,1,0,0,-1,0,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,1,-1,0,1,-1,1,0
314-1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,1,-1,0,0,0,0,1,0,1,1,1,1,0,1
3143,1,0,1,0,1,0,1,1,1,1,1,1,0,-1,-1,0,1,1,-1,1,1,1,1,1,1,0,1,1,-1,1,1
3144,1,0,1,1,1,0,0,1,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,0,1,1
3145,0,0,0,1,0,0,0,1,1,1,1,0,0,-1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
3146,0,0,0,1,0,0,1,1,1,1,1,0,1,-1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
3147,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,1,1,0,-1,0,1,0,0,0
3148,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,0,0,1,0,1,0
3149,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,0,0
315-1,1,0,1,1,0,0,0,1,0,1,1,1,0,-1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,-1,0,0
3151,1,0,1,1,1,0,-1,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,-1,0,0,-1,1,0
315-1,1,0,1,1,1,0,1,1,0,1,1,1,0,-1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3153,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,1,-1,0,0,-1,1,0
3154,1,0,1,1,1,0,0,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,0,-1,0,1,1,1,0
3155,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,0,0,0,0,1,-1,1,0
3156,1,0,1,0,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,0
3157,1,0,1,0,1,0,0,1,0,1,1,1,0,-1,1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
3158,0,0,0,1,0,0,0,1,0,1,1,0,1,-1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
3159,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,1,1,0,0,1,-1,1,0
316-1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,1,1,1
3161,1,0,1,1,1,0,0,0,0,0,0,1,1,0,-1,0,0,1,-1,1,1,0,1,0,1,0,0,1,-1,1,0
316-1,1,0,1,1,1,0,-1,1,1,1,1,1,0,1,-1,0,1,1,-1,1,1,1,1,1,0,0,1,1,1,1,1
3163,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1
3164,1,0,1,1,1,0,0,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,1,1,0,0,-1,1,0
3165,1,0,1,1,1,0,0,1,0,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,1,1,1
3166,1,0,1,1,1,0,-1,1,1,1,1,0,0,-1,-1,0,1,0,-1,1,1,1,1,0,1,1,0,1,-1,0,1
3167,1,0,1,1,1,0,0,0,0,1,1,1,1,0,-1,0,1,1,-1,1,1,1,1,0,0,1,0,1,1,1,0
3168,1,0,1,1,1,0,-1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1
3169,1,0,1,1,1,0,-1,-1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,0,0,0,1,-1,1,0
317-1,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,0,1,-1,1,1
3171,1,1,1,1,1,0,1,1,0,0,1,1,1,-1,-1,1,1,1,-1,1,1,0,1,1,0,1,0,1,1,1,1
317-1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,-1,0,1,0,1,1,0,1,0,1,0,0,1
3173,1,0,1,1,1,0,-1,1,0,1,1,1,1,-1,1,0,1,1,-1,1,1,1,1,0,1,1,0,1,-1,1,1
3174,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,-1,1,1,1,1,1,0,-1,0,1,-1,1,0
3175,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,0,0,1,1,-1,1,1,1,1,1,1,1,1,0,-1,1,1
3176,0,1,0,1,0,0,-1,1,0,0,0,0,0,-1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1
3177,1,1,0,1,1,0,-1,0,1,1,1,1,0,0,0,0,1,1,-1,1,1,1,1,0,0,-1,0,0,1,1,0
3178,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-1,1,1,1,1,0,1,0,0,1,-1,1,0
3179,1,0,1,1,1,0,-1,0,0,1,1,1,0,0,1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
318-1,0,1,0,1,0,0,-1,-1,0,1,1,0,1,0,-1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0
3181,1,0,1,1,1,0,1,1,0,1,1,1,1,-1,-1,0,1,1,-1,1,1,1,1,1,1,1,1,1,-1,1,1
318-1,1,-1,1,1,1,0,-1,-1,1,1,1,1,0,0,0,0,0,0,-1,1,1,1,1,1,0,1,0,1,1,0,0
3183,1,0,1,0,1,0,0,0,1,1,1,1,0,0,-1,0,1,1,-1,1,1,1,1,0,0,0,0,1,1,1,0
3184,0,0,0,1,0,0,1,1,0,1,1,0,0,-1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1
